date,ic,n
2019-03-20,-0.09596229852781946,978
2019-03-21,-0.19384477552994522,981
2019-03-22,-0.11333089497793856,987
2019-03-25,0.4709236268173685,983
2019-03-26,0.08327157017166847,976
2019-03-27,0.23054067830934205,976
2019-03-28,0.3764147529600489,979
2019-03-29,0.43178748813804585,982
2019-04-01,-0.022925615174598225,985
2019-04-02,0.03640073576655782,981
2019-04-03,-0.07691670238087263,982
2019-04-04,0.2242052562203794,980
2019-04-05,0.041462521866449394,979
2019-04-08,-0.21720498429686833,976
2019-04-09,0.04390799153732534,974
2019-04-10,0.06488228503415704,970
2019-04-11,0.06959337950927401,972
2019-04-12,0.007236315691716002,964
2019-04-15,0.299997047606307,947
2019-04-16,0.2498861320091215,916
2019-04-17,0.04333674227567556,914
2019-04-18,-0.17155531768897309,892
2019-04-22,-0.012452050083740052,873
2019-04-23,0.15722932931353062,798
2019-04-24,0.08970414269301363,781
2019-04-25,-0.14975977310729466,825
2019-04-26,0.0506454521953926,849
2019-04-29,-0.0505722285292365,821
2019-04-30,0.015785429187405123,749
2019-05-01,-0.06477866217827942,750
2019-05-02,0.16612404500975475,825
2019-05-03,-0.3455941950160145,868
2019-05-06,-0.017792377709772714,896
2019-05-07,-0.09048929734933349,877
2019-05-08,-0.25870656106775863,903
2019-05-09,-0.05611877561925896,935
2019-05-10,-0.237956617873553,959
2019-05-13,0.2790540181807711,970
2019-05-14,-0.36451267414093314,967
2019-05-15,0.014328391859962963,972
2019-05-16,-0.2054076141529925,972
2019-05-17,-0.26587416948807463,969
2019-05-20,0.3853306557475005,963
2019-05-21,-0.11659204801688748,955
2019-05-22,-0.06392476299374228,954
2019-05-23,0.2239330790162449,960
2019-05-24,0.05559441592967217,968
2019-05-28,-0.2675460326744275,963
2019-05-29,0.07678785639522277,958
2019-05-30,-0.18965897947401317,959
2019-05-31,-0.03634208274538945,961
2019-06-03,0.31260794038686507,960
2019-06-04,0.3244146409203879,957
2019-06-05,0.10462897935379149,958
2019-06-06,0.027779122468751836,961
2019-06-07,0.3317911084977283,960
2019-06-10,0.23377221204712276,964
2019-06-11,-0.04719156515821517,963
2019-06-12,0.16792846260583225,964
2019-06-13,-0.11813210597449472,963
2019-06-14,0.046095596507197606,965
2019-06-17,0.2620836690241804,962
2019-06-18,0.16706623337526932,956
2019-06-19,0.135889799271044,957
2019-06-20,0.10640929117205,966
2019-06-21,-0.05430340838544275,971
2019-06-24,-0.023149964920185458,975
2019-06-25,0.22657798207002386,970
2019-06-26,0.08765429584447432,971
2019-06-27,0.031873724079020185,977
2019-06-28,0.23273195101516592,981
2019-07-01,-0.03824431694006487,994
2019-07-02,0.01205245243233606,997
2019-07-03,0.02090926255218337,997
2019-07-05,-0.154762081490822,997
2019-07-08,-0.04705840267621822,990
2019-07-09,0.12154750204059758,986
2019-07-10,0.14926428496524977,987
2019-07-11,0.09571050104200256,986
2019-07-12,0.09163309462521428,974
2019-07-15,0.11757157627980974,950
2019-07-16,-0.008978533245494788,922
2019-07-17,0.03495587632712692,911
2019-07-18,0.2789714511993656,930
2019-07-19,0.10884275210743785,926
2019-07-22,-0.017871959834350606,892
2019-07-23,-0.03361822381264702,825
2019-07-24,-0.07025280934866143,799
2019-07-25,0.029589373772463366,847
2019-07-26,-0.030657275177116295,849
2019-07-29,-0.0350939567298305,849
2019-07-30,-0.042780888923958746,752
2019-07-31,0.13784775225780668,769
2019-08-01,-0.14061139550145024,825
2019-08-02,-0.30766045703763056,879
2019-08-05,0.30371129604445957,897
2019-08-06,-0.11310584005466177,865
2019-08-07,0.18388761801344108,906
2019-08-08,-0.13858902775029397,939
2019-08-09,-0.14137244331971416,977
2019-08-12,-0.10222471814715535,987
2019-08-13,-0.26745487255057804,984
2019-08-14,0.0554273180838297,979
2019-08-15,0.3919366252544752,981
2019-08-16,0.39871660643783735,982
2019-08-19,-0.04577431439456176,980
2019-08-20,0.21658276633179377,968
2019-08-21,0.1755063612834413,962
2019-08-22,-0.2620759399420636,968
2019-08-23,0.1612718642927499,971
2019-08-26,0.23419569746365837,977
2019-08-27,-0.31189450250176703,962
2019-08-28,0.4130394127835465,960
2019-08-29,0.21887778248335113,963
2019-08-30,-0.1403376276127675,969
2019-09-03,0.052344441235098314,968
2019-09-04,0.4154752950891609,959
2019-09-05,0.06469589133797628,956
2019-09-06,-0.06743946850814642,957
2019-09-09,-0.1796405184183902,961
2019-09-10,-0.07053986761183732,961
2019-09-11,0.20756636452691044,961
2019-09-12,-0.16811838121315142,966
2019-09-13,-0.1407906497092972,970
2019-09-16,0.2167987024176256,969
2019-09-17,0.09800398570762806,967
2019-09-18,-0.028140339273018098,967
2019-09-19,0.10813955612554481,972
2019-09-20,0.023446890582496452,974
2019-09-23,0.21773459524218325,984
2019-09-24,-0.016545727299372318,979
2019-09-25,-0.04519126010453674,979
2019-09-26,-0.0256254944873993,979
2019-09-27,0.08308688899836228,982
2019-09-30,0.0036200790670868448,982
2019-10-01,-0.1311604171496063,982
2019-10-02,-0.007212095287174879,981
2019-10-03,0.16817952083222493,985
2019-10-04,0.04092405914120962,983
2019-10-07,-0.10377953958132327,981
2019-10-08,0.13458802645627316,981
2019-10-09,-0.07757222136372631,982
2019-10-10,0.21939301211992981,980
2019-10-11,-0.05543671415304853,971
2019-10-14,0.21327285980622834,959
2019-10-15,-0.11322241657843228,933
2019-10-16,0.02463212587202859,925
2019-10-17,0.06457731844950439,933
2019-10-18,-0.06683293749262527,919
2019-10-21,0.10629601965618488,880
2019-10-22,-0.10227574476624782,818
2019-10-23,0.2191150171003123,804
2019-10-24,0.007983860349796097,847
2019-10-25,0.12899928945313954,863
2019-10-28,0.06533067320206298,838
2019-10-29,0.19927605306915233,743
2019-10-30,0.03898372160868662,760
2019-10-31,0.1825610830101058,807
2019-11-01,0.24205962047786095,868
2019-11-04,-0.006483581857982319,874
2019-11-05,0.06929043564846889,826
2019-11-06,0.002646557671505136,851
2019-11-07,-0.15983492065112942,894
2019-11-08,-0.019854944900870086,952
2019-11-11,0.08380833141411398,969
2019-11-12,0.056910521635109186,965
2019-11-13,0.026940242459646862,967
2019-11-14,0.26270335427934977,971
2019-11-15,-0.1278449761342075,966
2019-11-18,0.13924057654761995,967
2019-11-19,-0.1083593382993882,960
2019-11-20,0.05493242309358288,959
2019-11-21,0.15001521113796862,965
2019-11-22,0.19151628711662694,954
2019-11-25,0.12465201034907178,957
2019-11-26,0.026388995243023548,958
2019-11-27,-0.22444027744024458,972
2019-11-29,0.021574451939965093,975
2019-12-02,-0.25938197214813236,967
2019-12-03,0.20030287207025824,958
2019-12-04,0.3049526610601636,954
2019-12-05,0.23310956300008578,955
2019-12-06,-0.13710573197417805,952
2019-12-09,0.024211879207409238,956
2019-12-10,0.010474468311593155,954
2019-12-11,-0.038963835167576163,947
2019-12-12,0.039724325023086954,949
2019-12-13,-0.11154586688169067,962
2019-12-16,0.04447439518158876,966
2019-12-17,0.019109083841579024,962
2019-12-18,0.06526776624802684,964
2019-12-19,0.19555192757429135,972
2019-12-20,0.08174294426890376,978
2019-12-23,0.027824704471447085,997
2019-12-24,-0.11916450688765198,985
2019-12-26,0.08602049381919086,983
2019-12-27,0.06842898882356156,986
2019-12-30,-0.2681783108580929,985
2019-12-31,0.27041263478517946,987
2020-01-02,-0.3938169752566396,989
2020-01-03,0.06053406228229128,990
2020-01-06,0.1557916877085675,982
2020-01-07,0.002022042558215929,979
2020-01-08,0.16094117248587173,971
2020-01-09,0.07782120549106009,974
2020-01-10,0.14009145250236774,982
2020-01-13,0.11790746914688127,983
2020-01-14,-0.1835311312264749,977
2020-01-15,0.19157450137482634,973
2020-01-16,0.1020186919464621,975
2020-01-17,-0.17289730776071757,963
2020-01-21,0.18645968972004726,943
2020-01-22,-0.23421391107697606,926
2020-01-23,0.13060860299929414,929
2020-01-24,-0.45532160442128244,938
2020-01-27,0.47994108267797575,917
2020-01-28,0.24564296853552975,860
2020-01-29,-0.3406344919024804,846
2020-01-30,-0.2505139459995969,885
2020-01-31,0.05580046051838998,899
2020-02-03,0.5438706977968207,889
2020-02-04,0.3838669445272693,842
2020-02-05,0.15507008753794768,862
2020-02-06,-0.23195155595334566,907
2020-02-07,-0.3369721115013823,929
2020-02-10,0.32051216856249937,936
2020-02-11,0.30953615848572913,891
2020-02-12,-0.2684211001159925,902
2020-02-13,0.07665054408248673,907
2020-02-14,-0.2583725922074495,935
2020-02-18,0.2889663164838722,913
2020-02-19,-0.09036839157738984,900
2020-02-20,-0.26153732926723294,911
2020-02-21,-0.4537062338885499,929
2020-02-24,0.45046178730657127,928
2020-02-25,0.24834565356191682,898
2020-02-26,-0.5775710914291035,901
2020-02-27,-0.47927045649618416,926
2020-02-28,0.3032222762697804,961
2020-03-02,0.08895211191871713,977
2020-03-03,0.19536409497413185,972
2020-03-04,-0.4128837187258077,976
